,Frame name,Datetime,Fork name,Disc.,Sizes,date,Frame code,Fork code,RefreshTimeUTC
0,EMONDA SLR MY21,2020-08-22 00:00:00,EMONDA SLR MY21,RD,47 - 62 (8),22.08.2020,TREK-058-RD,TREK-058-RD,2020-06-24 20:42:04
1,EMONDA SL MY21,2020-08-22 00:00:00,EMONDA SL MY21,RD,47 - 62 (8),22.08.2020,TREK-059-RD,TREK-059-RD,2020-06-24 20:42:04
2,MIRAI 2021 DISC,2020-06-12 00:00:00,RD,MIRAI 2021 DISC,46 – 54 (5),12.06.2020,KAZE-MIRD-RD,KAZE-MIRD-RD,2020-06-24 20:42:04
3,RD,2020-03-26 00:00:00, , , , , , ,2020-06-24 20:42:04
4,ULTRA_DB_20,2020-03-26 00:00:00,RD,ULTRAF_DB_20,XXS - XL (6),26.03.2020,VRSL-UD20-RD,VRSL-UD20-RD,2020-06-24 20:42:04
5,INTEGRATED 01,2020-03-04 00:00:00,RD,ROAD CL/INT 01,Custom,04.03.2020,EXC-INT1-RD,EXC-CLIN-RD,2020-06-24 20:42:04
6,CLASSIC 01,2020-03-04 00:00:00,RD,ROAD CL/INT 01,Custom,04.03.2020,EXC-CL1-RD,EXC-CLIN-RD,2020-06-24 20:42:04
7,TT,2020-03-02 00:00:00, , , , , , ,2020-06-24 20:42:04
8,ORCA 2021,2020-02-21 00:00:00,ORCA 2021,RD,47 - 60 (7),ORB-ORC10-RD,21.02.2020,ORB-ORC10-RD,2020-06-24 20:42:04
9,EPIC,2020-02-13 00:00:00,RD,EPIC,XS - XL (5),13.02.2020,DIZO-EPC-RD,DIZO-EPC-RD,2020-06-24 20:42:04
10,KANSAI 2020 RIMBRAKE,2020-01-27 00:00:00,RD,KANSAI 2020 RIMBRAKE,44 – 54 (5),27.01.2020,KAZE-KAN-RD,KAZE-KAN-RD,2020-06-24 20:42:04
11,TR,2020-01-24 00:00:00,ULTRA,XS - XXL (6),XXS - M (4), , , ,2020-06-24 20:42:04
12,GEPIN 4.0,2020-01-23 00:00:00,RD,GEPIN 4.0,430 - 585 (6),23.01.2020,OLMO-GEP-RD,OLMO-GEP-RD,2020-06-24 20:42:04
13,SLICK DISC,2020-01-09 00:00:00,TT,FK-09,S - XL (4),09.01.2020,FACT-SLD-RD,FACT-SLD-RD,2020-06-24 20:42:04
14,SCAROSSO,2020-01-08 00:00:00,RD,SCAROSSO AID,48 - 58 (6),08.01.2020,SILV-SCAR-RD,SILV-SCAR-RD,2020-06-24 20:42:04
15,ZENIUM EVO,2019-12-31 00:00:00,RD,ZENIUM FK,XS – XXL (6),31.12.2019,VITU-ZEVO-RD,VITU-ZEVO-RD,2020-06-24 20:42:04
16,ENERGIE EVO,2019-12-31 00:00:00,CX,ENERGIE FK,XS – XL (5),31.12.2019,VITU-ENEV-CX,VITU-ENEV-CX,2020-06-24 20:42:04
17,KANSAI 2020 DISC,2019-12-11 00:00:00,RD,KANSAI 2020 DISC,44 – 54 (5),11.12.2019,KAZE-KAND-RD,KAZE-KAND-RD,2020-06-24 20:42:04
18,CROSS RACE 20,2019-12-02 00:00:00,CX,CROSS RACE 20,50 – 61 (5),02.12.2019,CUBE-CR20-CX,CUBE-CR20-CX,2020-06-24 20:42:04
19,SRSERIES,2019-11-28 00:00:00,RD,SR-SERIES,XS - XXL (6),28.11.2019,QUIN-SR-RD,QUIN-SR-RD,2020-06-24 20:42:04
20,THUNDERDOME 19,2019-11-27 00:00:00,TR,WHISKY PARTS CO.NO7 ROAD FORK,46 - 61 (6),27.11.2019,ACIT-THND-TR,ACIT-THND-TR,2020-06-24 20:42:04
21,FELTTKFRTR,2019-11-19 00:00:00,TK FRD,TK FRD,TR,51 - 62 (5),19.11.2019,FELT-TKFR-TR,2020-06-24 20:42:04
22,WXR VORTEQ,2019-11-19 00:00:00,TR,WX-R VORTEQ,S - L (3),19.11.2019,WORX-WVOR-TR,WORX-WVOR-TR,2020-06-24 20:42:04
23,TRACK2,2019-11-05 00:00:00,TR,TRACK2,XXS - M (4),05.11.2019,DER-TR2-TR,DER-TR2-TR,2020-06-24 20:42:04
24,TRACK1,2019-11-05 00:00:00,TR,TRACK1,480 - 580 (5),05.11.2019,DER-TR1-TR,DER-TR1-TR,2020-06-24 20:42:04
25,ZOLDER PRO MY2020,2019-10-08 00:00:00, , , , , ,Norcross SL Aero /,2020-06-24 20:42:04
26,HOPE-HTF2-TR,2019-10-07 00:00:00,TR,HTF02-0,LOTUS TYPE 129,07.10.2019,HOPE-HTF2-TR,LOT-129-TR,2020-06-24 20:42:04
27,TXT PRO,2019-10-07 00:00:00,TR,TXT PRO,XS - M (3),07.10.2019,WIA-TXTP-TR,WIA-TXTP-TR,2020-06-24 20:42:04
28,CX,2019-10-03 00:00:00, , , , , , ,2020-06-24 20:42:04
29,CX20,2019-09-27 00:00:00,CX,CX20,XS - L (4),27.09.2019,VRSL-CX20-CX,VRSL-CX20-CX,2020-06-24 20:42:04
30,FK0073 FK0076,2019-09-26 00:00:00,RD,2XS - 2XS (8),26.09.2019,CANY-R056-RD,CANY-F060-RD,AEROAD CF SLX R081,2020-06-24 20:42:04
31,FK0060,2019-09-26 00:00:00,FK0060,RD,2XS - 2XL (8),26.09.2019,CANY-R056-RD,CANY-F060-RD,2020-06-24 20:42:04
32,"FK0073, FK0076",2019-09-26 00:00:00,"FK0073, FK0076",RD,XS - 2XL (9),26.09.2019,CANY-R056-RD,CANY-F060-RD,2020-06-24 20:42:04
33,ALTO HAMA,2019-09-24 00:00:00,RD,ALTO HAMA,44 - 56 (6),24.09.2019,TCH-AHAM-RD,TCH-AHAM-RD,2020-06-24 20:42:04
34,MONAMI,2019-09-23 00:00:00,RD,MONAMI,45 - 54 (5),23.09.2019,TCH-MON-RD,TCH-MON-RD,2020-06-24 20:42:04
35,F07 DISC,2019-08-26 00:00:00,RD,F07 DISC,52 - 58 (4),26.08.2019,TCH-F07-RD,TCH-F07-RD,2020-06-24 20:42:04
36,KANON 2019 DISC,2019-08-12 00:00:00,RD,Kanon 2019 Disc,44 – 54 (5),12.08.2019,KAZE-KAND-RD,KAZE-KAND-RD,2020-06-24 20:42:04
37,A01,2019-08-12 00:00:00,RD,A01 Fork,44 - 58 (7),12.08.2019,DEV-A01-RD,DEV-A01F-RD,2020-06-24 20:42:04
38,RONINR DISC,2019-08-12 00:00:00,RD,Ronin-R Disc,45 – 52 (4),12.08.2019,KAZE-RORD-RD,KAZE-RORD-RD,2020-06-24 20:42:04
39,NEW SK PINIFARINADISK,2019-08-07 00:00:00,RD,NEW SK PINIFARINADISK,460 - 600 (8),07.08.2019,DER-NSPD-RD,DER-NSPD-RD,2020-06-24 20:42:04
40,NEO_20,2019-08-07 00:00:00,RD,NEOF_20,XXS - XL (6),07.08.2019,VRSL-N20-RD,VRSL-N20F-RD,2020-06-24 20:42:04
41,ULTRA_20,2019-08-05 00:00:00,RD,ULTRAF_20,XXS - XL (6),05.08.2019,VRSL-U20-RD,VRSL-U20F-RD,2020-06-24 20:42:04
42,2020 ELECTRON PRO,2019-07-26 00:00:00,TR,2020 ELECTRON PRO,S - L (3),26.07.2019,AR18-PVM-TR,AR18-PVM-TR,2020-06-24 20:42:04
43,Z88,2019-07-22 00:00:00,TT,Z88,50 - 60 (6),22.07.2019,ZAN-Z88-RD,ZAN-Z88-RD,2020-06-24 20:42:04
44,MACHO KING,2019-07-17 00:00:00,CX,MACHO KING,46 - 61 (6),17.07.2019,ACIT-MKIN-CX,ACIT-MKIN-CX,2020-06-24 20:42:04
45,NATURE BOY,2019-07-17 00:00:00,CX,NATURE BOY,46 - 61 (6),17.07.2019,ACIT-NBOY-CX,ACIT-NBOY-CX,2020-06-24 20:42:04
46,INFINITO XE,2019-06-19 00:00:00,INFINITO XE,RD,47 - 61 (7),19.06.2019,BIAN-INXE-RD,BIAN-INXE-RD,2020-06-24 20:42:04
47,O2V2 RIM,2019-06-18 00:00:00,RD,FK-07,49 - 61 (6),18.06.2019,FACT-02V-RD,FACT-02V-RD,2020-06-24 20:42:04
48,GIAN-027-RD,2019-06-14 00:00:00,RD,TCR Adv SL MY21 Disc,XS - XL (6),14.06.2019,GIAN-027-RD,GIAN-027-RD,2020-06-24 20:42:04
49,AEROLIGHT DISC,2019-06-07 00:00:00,RD,Aerolight Disc,S - XL (4),07.06.2019,BHB-AERD-TT,BHB-AERD-TT,2020-06-24 20:42:04
50,O2V2 DISC,2019-05-27 00:00:00,RD,FK-08,49 - 61 (6),27.05.2019,FACT-02VD-RD,FACT-02VD-RD,2020-06-24 20:42:04
51,REVEAL DISC,2019-05-16 00:00:00,RD,REVEAL FORK DISC,50 - 64 (7),16.05.2019,ROSE-RVLD-RD,ROSE-RVLD-RD,2020-06-24 20:42:04
52,REVEAL,2019-05-16 00:00:00,RD,REVEAL FORK,50 - 64 (7),16.05.2019,ROSE-RVL-RD,ROSE-RVL-RD,2020-06-24 20:42:04
53,CINE-VLTD-RD,2019-05-16 00:00:00,RD,VELTRIX Disc,VELTRIX Fork Disc,16.05.2019,CINE-VLTD-RD,CINE-VLTD-RD,2020-06-24 20:42:04
54,G8 DISC,2019-05-13 00:00:00,RD,G8 Disc,XS - XL (5),13.05.2019,BHB-G8D-RD,BHB-G8D-RD,2020-06-24 20:42:04
55,HELIUM S LX DISC,2019-05-06 00:00:00,RD,Helium SLX Disc,XXS - XL (6),06.05.2019,RID-HSLD-RD,RID-HSLD-RD,2020-06-24 20:42:04
56,NEW MERAK DISC,2019-04-18 00:00:00,RD,NEW MERAK DISC,43 - 58 (8),18.04.2019,DER-MERD-RD,DER-MERD-RD,2020-06-24 20:42:04
57,R928 NEW IDOL DISC,2019-04-18 00:00:00,RD,R928 NEW IDOL DISC,437 - 565 (6),18.04.2019,DER-IDLD-RD,DER-IDLD-RD,2020-06-24 20:42:04
58,NEW MERAK,2019-04-18 00:00:00,RD,NEW MERAK,43 - 58 (8),18.04.2019,DER-MER-RD,DER-MER-RD,2020-06-24 20:42:04
59,ALPE DHUEZ 21D,2019-04-09 00:00:00,RD,TF05D,XXS – XL (6),09.04.2019,TIME-AH21D-RD,TIME-TF5D-RD,2020-06-24 20:42:04
60,ALPE DHUEZ 01D,2019-04-09 00:00:00,RD,TFP02D,XXS – XL (6),09.04.2019,TIME-AH1D-RD,TIME-TF2D-RD,2020-06-24 20:42:04
61,MARCELLO HP25D,2019-04-09 00:00:00,RD,Marcello HP25D,47 - 59 (7),09.04.2019,RAIK-HP25D-RD,RAIK-HP25D-RD,2020-06-24 20:42:04
62,AFIELD,2019-04-03 00:00:00,RD,AFIELD,XS – XL (6),03.04.2019,SEKA-AFLD-RD,SEKA-AFLD-RD,2020-06-24 20:42:04
63,INDUSTRIE,2019-04-02 00:00:00,RD,Industrie,47-58 (5),02.04.2019,ALLE-INDS-RD,ALLE-INDS-RD,2020-06-24 20:42:04
64,ADDICT RC,2019-03-28 00:00:00,RD,ADDICT RC,47 - 61 (7),28.03.2019,SCOT-ADRC-RD,SCOT-ADRC-RD,2020-06-24 20:42:04
65,E117 TRI DISC,2019-03-27 00:00:00,TR,E-117 TRI DISC,XS - XL (5),27.03.2019,AR18-117D-TT,AR18-117D-TT,2020-06-24 20:42:04
66,ESCAPEE,2019-03-15 00:00:00,RD,Escapee,48-60 (5),15.03.2019,ARC8-ESC-RD,ARC8-ESC-RD,2020-06-24 20:42:04
67,LITENING 20,2019-02-25 00:00:00,RD,LITENING 20,50 – 60 (6),25.02.2019,CUBE-LI20-RD,CUBE-LI20-RD,2020-06-24 20:42:04
68,ELITE SL,2019-02-14 00:00:00,RD,ELITE SL,45 - 60 (8),14.02.2019,ZERO-ESL-RD,ZERO-ESL-RD,2020-06-24 20:42:04
69,FK,2019-02-06 00:00:00,MERI-TWFK-TT,Time WARP TT2,06.02.2019, , , ,2020-06-24 20:42:04
70,VSRU,2019-01-21 00:00:00,RD,VSRu,XXS – XL (6),21.01.2019,DARE-VSRU-RD,DARE-VSRU-RD,2020-06-24 20:42:04
71,SPRINT DISC,2019-01-20 00:00:00,SPRINT Disc,RD,44-61 (8),20.01.2019,BIAN-SPRD-RD,BIAN-SPRD-RD,2020-06-24 20:42:04
72,AVAIL ADV DISC MY20,2019-01-18 00:00:00,RD,Avail Adv Disc MY20,XXS - L (5),18.01.2019,GIAN-025-RD,GIAN-025-RD,2020-06-24 20:42:04
73,ORCA 2020,2019-01-14 00:00:00,ORCA 2020,RD,47 - 60 (7),ORB-ORC9-RD,14.01.2019,ORB-ORC9-RD,2020-06-24 20:42:04
74,STEALTH,2019-01-14 00:00:00,RD,FK-STLT,XS-XL (5),14.01.2019,PYTH-STLT-RD,PYTH-STLT-RD,2020-06-24 20:42:04
75,CROCKETT MY20,2018-12-21 00:00:00,Crockett MY20,CX,47 - 61 (7),21.12.2018,TREK-055-CX,TREK-055-CX,2020-06-24 20:42:04
76,007 ROAD,2018-12-14 00:00:00,RD,007 Road,46 – 58 (5),14.12.2018,AST-007-RD,AST-007-RD,2020-06-24 20:42:04
77,FEROCE DISC,2018-12-14 00:00:00,RD,Feroce Disc,43 – 58 (8),14.12.2018,JAVA-FERD-RD,JAVA-FERD-RD,2020-06-24 20:42:04
78,RONIN  R,2018-12-14 00:00:00,RD,Ronin - R,45 – 52 (5),14.12.2018,KAZE-ROR-RD,KAZE-ROR-RD,2020-06-24 20:42:04
79,AURO,2018-11-30 00:00:00,TT,AURO,XS – L (4),30.11.2018,VITU-AURO-TT,VITU-AURO-TT,2020-06-24 20:42:04
80,DREAMLINE,2018-11-28 00:00:00,RD,DREAMLINE,XS/S/M/L/XL,28.11.2018,ADRI-DRM-RD,ADRI-DRM-RD,2020-06-24 20:42:04
81,HP25,2018-11-27 00:00:00,RD,HP25,47 - 59 (7),27.11.2018,RAIK-HP25-RD,RAIK-HP25-RD,2020-06-24 20:42:04
82,SLIKER PRO,2018-11-27 00:00:00,RD,Sliker Pro,48 – 60 (5),27.11.2018,THOM-SPRO-RD,THOM-SPRO-RD,2020-06-24 20:42:04
83,AJ1 DISC,2018-11-23 00:00:00,RD,AJ-1 Disc,46.5 - 56 (4),23.11.2018,WDN-AJ1D-RD,WDN-AJ1D-RD,2020-06-24 20:42:04
84,Roadmachine 20,2018-11-14 00:00:00,Roadmachine 20,Roadmachine 20 RD,47 - 61 (6),14.11.2018,BMC-RDMA-RD,BMC-RDMA-RD,2020-06-24 20:42:04
85,SPRINT,2018-11-01 00:00:00,SPRINT,RD,44-61 (8),01.11.2018,BIAN-SPR-RD,BIAN-SPR-RD,2020-06-24 20:42:04
86,MR1S DB,2018-10-29 00:00:00,RD,MR1s DB,XXXS – XXL (8),29.10.2018,DARE-MR1D-RD,DARE-MR1D-RD,2020-06-24 20:42:04
