Frame name,Datetime,Fork name,Disc.,Sizes,date,Frame code,Fork code,RefreshTimeUTC
RONINR DISC,2019-08-12 00:00:00,Ronin-R Disc,RD,45 – 52 (4),12.08.2019,KAZE-RORD-RD,KAZE-RORD-RD,2019-09-01 14:15:20
A01,2019-08-12 00:00:00,A01 Fork,RD,44 - 58 (7),12.08.2019,DEV-A01-RD,DEV-A01F-RD,2019-09-01 14:15:20
KANON 2019 DISC,2019-08-12 00:00:00,Kanon 2019 Disc,RD,44 – 54 (5),12.08.2019,KAZE-KAND-RD,KAZE-KAND-RD,2019-09-01 14:15:20
NEO_20,2019-08-07 00:00:00,NEOF_20,RD,XXS - XL (6),07.08.2019,VRSL-N20-RD,VRSL-N20F-RD,2019-09-01 14:15:20
AIRCODE DISQUE,2019-07-29 00:00:00,AIRCODE DISQUE,RD,XS – XXL (6),29.07.2019,LAPI-AIR3-RD,LAPI-AIR3-RD,2019-09-01 14:15:20
PRZ,2019-07-26 00:00:00,PRZ,TR,S - L (3),26.07.2019,BSC-PRZ-TR,BSC-PRZ-TR,2019-09-01 14:15:20
Z88,2019-07-22 00:00:00,Z88,TT,50 - 60 (6),22.07.2019,ZAN-Z88-RD,ZAN-Z88-RD,2019-09-01 14:15:20
ROAD TEAM DISC,2019-07-18 00:00:00,Road Team Disc,RD,48 - 58 (6),18.07.2019,MAS-RTD-RD,MAS-RTD-RD,2019-09-01 14:15:20
20MY CAYIN DISC,2019-07-17 00:00:00,20MY CAYIN DISC,RD,470 - 490 (2),17.07.2019,VGL-CAY5-RD,VGL-CAY5-RD,2019-09-01 14:15:20
20MY SCARLATTI,2019-07-17 00:00:00,20MY SCARLATTI, , , , , ,2019-09-01 14:15:20
NATURE BOY,2019-07-17 00:00:00,NATURE BOY,CX,46 - 61 (6),17.07.2019,ACIT-NBOY-CX,ACIT-NBOY-CX,2019-09-01 14:15:20
MACHO KING,2019-07-17 00:00:00,MACHO KING,CX,46 - 61 (6),17.07.2019,ACIT-MKIN-CX,ACIT-MKIN-CX,2019-09-01 14:15:20
INFINITO XE,2019-06-19 00:00:00,INFINITO XE,RD,47 - 61 (7),19.06.2019,BIAN-INXE-RD,BIAN-INXE-RD,2019-09-01 14:15:20
TCR ADV MY21 RIM,2019-06-14 00:00:00,TCR Adv MY21 Rim,RD,XS - XL (6),14.06.2019,GIAN-028-RD,GIAN-028-RD,2019-09-01 14:15:20
TCR ADV MY21 DISC,2019-06-14 00:00:00,TCR Adv MY21 Disc,RD,XS - XL (6),14.06.2019,GIAN-030-RD,GIAN-030-RD,2019-09-01 14:15:20
TCR ADV SL MY21 RIM,2019-06-14 00:00:00,TCR Adv SL MY21 Rim,RD,XS - XL (6),14.06.2019,GIAN-026-RD,GIAN-026-RD,2019-09-01 14:15:20
TCR ADV PRO MY21,2019-06-14 00:00:00,TCR Adv Pro MY21, , , , , ,2019-09-01 14:15:20
TCR ADV SL MY21,2019-06-14 00:00:00, , , , , , ,2019-09-01 14:15:20
AEROLIGHT DISC,2019-06-07 00:00:00,Aerolight Disc,RD,S - XL (4),07.06.2019,BHB-AERD-TT,BHB-AERD-TT,2019-09-01 14:15:20
O2V2 DISC,2019-05-27 00:00:00,FK-08,RD,49 - 61 (6),27.05.2019,FACT-02VD-RD,FACT-02VD-RD,2019-09-01 14:15:20
B.1 DISC,2019-05-17 00:00:00,B.1 Disc,RD,42s - 58s (8),17.05.2019,COLN-B1D-RD,COLN-B1D-RD,2019-09-01 14:15:20
B.1,2019-05-17 00:00:00,B.1,RD,42s - 58s (8),17.05.2019,COLN-B1-RD,COLN-B1-RD,2019-09-01 14:15:20
V3RS,2019-05-17 00:00:00,V3-rs,RD,42s - 58s (8),17.05.2019,COLN-V3R-RD,COLN-V3R-RD,2019-09-01 14:15:20
V3RS DISC,2019-05-17 00:00:00,V3-rs Disc,RD,42s - 58s (8),17.05.2019,COLN-V3RD-RD,COLN-V3RD-RD,2019-09-01 14:15:20
DOGMA F12 XLIGHT,2019-05-17 00:00:00,DOGMA F12 X-LIGHT,RD,420 – 620 (13),17.05.2019,PINA-032X-RD,PINA-032X-RD,2019-09-01 14:15:20
DOGMA F12 DISK X,2019-05-17 00:00:00,DOGMA F12 DISK X-, , , , , ,2019-09-01 14:15:20
REVEAL DISC,2019-05-16 00:00:00,REVEAL FORK DISC,RD,50 - 64 (7),16.05.2019,ROSE-RVLD-RD,ROSE-RVLD-RD,2019-09-01 14:15:20
VELTRIX DISC,2019-05-16 00:00:00,VELTRIX Disc, ,RD, , , ,2019-09-01 14:15:20
REVEAL,2019-05-16 00:00:00,REVEAL FORK,RD,50 - 64 (7),16.05.2019,ROSE-RVL-RD,ROSE-RVL-RD,2019-09-01 14:15:20
G8 DISC,2019-05-13 00:00:00,G8 Disc,RD,XS - XL (5),13.05.2019,BHB-G8D-RD,BHB-G8D-RD,2019-09-01 14:15:20
SAN REMO DISC,2019-05-06 00:00:00,San Remo Disc,RD,XS - XL (5),06.05.2019,EMC-SRD-RD,EMC-SRD-RD,2019-09-01 14:15:20
SAN REMO,2019-05-06 00:00:00,San Remo,RD,XS - XL (5),06.05.2019,EMC-SR-RD,EMC-SR-RD,2019-09-01 14:15:20
HYDROPURSTM1,2019-05-06 00:00:00,-,RD,440 - 491 (5),06.05.2019,MAG-HPT1-RD,-,2019-09-01 14:15:20
HELIUM S LX DISC,2019-05-06 00:00:00,Helium SLX Disc,RD,XXS - XL (6),06.05.2019,RID-HSLD-RD,RID-HSLD-RD,2019-09-01 14:15:20
PHANTOM,2019-05-03 00:00:00,PHANTOM,TR,51 - 58 (4),24.03.2017,DURA-PHA-RD,DURA-PHA-RD,2019-09-01 14:15:20
CX6D MY 2020,2019-04-29 00:00:00,CX6D MY 2020,CX,490 - 530 (3),29.04.2019,BSC-C6D0-CX,BSC-C6D0-CX,2019-09-01 14:15:20
R928 NEW IDOL DISC,2019-04-18 00:00:00,R928 NEW IDOL DISC,RD,437 - 565 (6),18.04.2019,DER-IDLD-RD,DER-IDLD-RD,2019-09-01 14:15:20
NEW MERAK DISC,2019-04-18 00:00:00,NEW MERAK DISC,RD,43 - 58 (8),18.04.2019,DER-MERD-RD,DER-MERD-RD,2019-09-01 14:15:20
NEW MERAK,2019-04-18 00:00:00,NEW MERAK,RD,43 - 58 (8),18.04.2019,DER-MER-RD,DER-MER-RD,2019-09-01 14:15:20
